experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,train_query_count,eval_query_count,evaluation_scope,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
budget_sensitivity_canonical_0001,budget_sensitivity_canonical,budget_sensitivity,B,10000,439,439,439,train,10000,1,0,jaccard_precision_utility,0.003416856492027335,0.21881134566828084,0.003416856492027335,0.018594600027427077,0.31334686279296875,9815,40860,success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0001_b.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0002,budget_sensitivity_canonical,budget_sensitivity,B,10000,439,439,439,train,10000,3,0,jaccard_precision_utility,0.008272253472383638,0.2857815602194858,0.008272253472383638,0.01792150002438575,0.31310272216796875,"9815,1704,7022","40860,7315,29187",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0002_b.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0003,budget_sensitivity_canonical,budget_sensitivity,B,10000,439,439,439,train,10000,5,0,jaccard_precision_utility,0.012828062128420083,0.29930713487099814,0.012828062128420083,0.017830200027674437,0.31310272216796875,"9815,1704,7022,1167,1730","40860,7315,29187,5002,7389",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0003_b.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0004,budget_sensitivity_canonical,budget_sensitivity,B,10000,439,439,439,train,10000,10,0,jaccard_precision_utility,0.0242175837685112,0.3408865249709786,0.0242175837685112,0.020798299927264452,0.31310272216796875,"9815,1704,7022,1167,1730,1743,2019,3399,3938,4669","40860,7315,29187,5002,7389,7449,8499,14206,16396,19348",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0004_b.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0005,budget_sensitivity_canonical,budget_sensitivity,B,10000,439,439,439,train,10000,25,0,jaccard_precision_utility,0.04811739308396326,0.4314402155598296,0.04811739308396326,0.027447600034065545,0.31310272216796875,"9815,1704,7022,1167,1730,1743,2019,3399,3938,4669,5838,7724,8191,9703,737,1212,1528,9237,3276,1643,8246,8330,1292,2136,3333","40860,7315,29187,5002,7389,7449,8499,14206,16396,19348,24285,32091,34012,40405,3224,5229,6491,38494,13588,6971,34255,34594,5554,8989,13860",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0005_b.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0006,budget_sensitivity_canonical,budget_sensitivity,D,10000,439,439,439,train,10000,1,0,cosine_proxy_utility,0.29373087253065727,0.29373087253065727,2.8122275654545965e-05,2.731961500016041,390.93119525909424,7735,32147,success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0006_d.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0007,budget_sensitivity_canonical,budget_sensitivity,D,10000,439,439,439,train,10000,3,0,cosine_proxy_utility,0.36580019639570754,0.36580019639570754,0.00017381940312843883,7.25872459996026,390.930908203125,"7735,2723,2174","32147,11318,9128",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0007_d.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0008,budget_sensitivity_canonical,budget_sensitivity,D,10000,439,439,439,train,10000,5,0,cosine_proxy_utility,0.39632359126225697,0.3963235912622569,0.0003765501841312283,11.681646700017154,390.930908203125,"7735,2723,2174,7103,4847","32147,11318,9128,29525,20124",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0008_d.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0009,budget_sensitivity_canonical,budget_sensitivity,D,10000,439,439,439,train,10000,10,0,cosine_proxy_utility,0.43059659487878604,0.430596594878786,0.0008745108111095127,22.937922399956733,390.930908203125,"7735,2723,2174,7103,4847,530,6517,3824,6356,9132","32147,11318,9128,29525,20124,2221,27106,15897,26446,37981",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0009_d.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
budget_sensitivity_canonical_0010,budget_sensitivity_canonical,budget_sensitivity,D,10000,439,439,439,train,10000,25,0,cosine_proxy_utility,0.4716879873830375,0.4716879873830375,0.010972550466693045,56.59411810000893,390.930908203125,"7735,2723,2174,7103,4847,530,6517,3824,6356,9132,9916,776,6108,1416,1167,5714,9246,7022,7358,953,4110,6590,4669,1730,3778","32147,11318,9128,29525,20124,2221,27106,15897,26446,37981,41225,3432,25330,6034,5002,23731,38533,29187,30601,4095,17065,27372,19348,7389,15710",success,,experiments\results\budget_sensitivity_canonical\diagnostics\budget_sensitivity_canonical_0010_d.json,experiments\configs\budget_sensitivity.yaml,768e79d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
