experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
scalability_20260609T115625Z_0001,scalability_20260609T115625Z,scalability,B,1000,354,1000,3,0,jaccard_precision_utility,0.019336830777508744,0.2605774480022858,0.019336830777508744,0.010255799978040159,0.03868865966796875,"109,806,678","4822,33801,28756",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0001_b.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0002,scalability_20260609T115625Z,scalability,B,5000,426,5000,3,0,jaccard_precision_utility,0.008940900303783484,0.2661588784763969,0.008940900303783484,0.014729399990756065,0.16051483154296875,"612,2195,1342","5230,18420,11237",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0002_b.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0003,scalability_20260609T115625Z,scalability,B,10000,439,10000,3,0,jaccard_precision_utility,0.008272253472383638,0.26913817979078947,0.008272253472383638,0.018664500006707385,0.31310272216796875,"9815,1704,7022","40861,7316,29188",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0003_b.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0004,scalability_20260609T115625Z,scalability,B,20000,443,20000,3,0,jaccard_precision_utility,0.008537756799441017,0.2627304550140451,0.008537756799441017,0.02091439999639988,0.6182785034179688,"19631,2546,3525","40861,5257,7316",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0004_b.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0005,scalability_20260609T115625Z,scalability,B,41620,443,41620,3,0,jaccard_precision_utility,0.008537756799441017,0.2627304550140451,0.008537756799441017,0.020728800009237602,1.2780685424804688,"40861,5257,7316","40861,5257,7316",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0005_b.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0006,scalability_20260609T115625Z,scalability,D,1000,354,1000,3,0,cosine_proxy_utility,0.3397304650885228,0.33973046508852284,0.006198995605775266,0.22847269999329,46.94707202911377,"701,342,22","29781,15133,971",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0006_d.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0007,scalability_20260609T115625Z,scalability,D,5000,426,5000,3,0,cosine_proxy_utility,0.34511916711183904,0.34511916711183904,0.0005385922535881111,2.19491079999716,232.49484252929688,"3562,1811,1936","29781,15133,16232",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0007_d.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0008,scalability_20260609T115625Z,scalability,D,10000,439,10000,3,0,cosine_proxy_utility,0.3466248601383777,0.3466248601383777,0.00037494858641921386,7.094445900002029,390.930908203125,"2814,6685,3643","11708,27758,15133",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0008_d.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0009,scalability_20260609T115625Z,scalability,D,20000,443,20000,3,0,cosine_proxy_utility,0.3485973006831345,0.3485973006831345,0.00024122341478520075,15.284674700000323,427.63021087646484,"5652,13385,12310","11708,27758,25519",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0009_d.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
scalability_20260609T115625Z_0010,scalability_20260609T115625Z,scalability,D,41620,443,41620,3,0,cosine_proxy_utility,0.34930597816451886,0.34930597816451886,0.00010390212057903071,30.980602399999043,427.79515838623047,"11708,24228,25519","11708,24228,25519",success,,experiments\results\scalability_20260609T115625Z\diagnostics\scalability_20260609T115625Z_0010_d.json,experiments\configs\scalability.yaml,970c38d,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
