experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,train_query_count,eval_query_count,evaluation_scope,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
small_exact_comparison_canonical_0001,small_exact_comparison_canonical,small_exact_comparison,A,6,6,6,6,train,6,3,0,cosine_proxy_utility,0.6468910949687835,0.6468910949687835,0.5,0.005020700045861304,0.1433391571044922,"2,4,5","12791,26444,35261",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0001_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0002,small_exact_comparison_canonical,small_exact_comparison,A,6,7,7,7,train,6,3,1,cosine_proxy_utility,0.6761117725052495,0.6761117725052495,0.5714285714285714,0.005415500025264919,0.14239501953125,"0,1,2","1445,6074,19558",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0002_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0003,small_exact_comparison_canonical,small_exact_comparison,A,6,11,11,11,train,6,3,2,cosine_proxy_utility,0.7879910890683248,0.7879910890683248,0.7272727272727273,0.0076660000486299396,0.14269256591796875,"2,3,4","12435,17158,33800",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0003_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0004,small_exact_comparison_canonical,small_exact_comparison,A,6,6,6,6,train,6,4,0,cosine_proxy_utility,0.7770507679014983,0.7770507679014983,0.6666666666666666,0.0037232000613585114,0.15827178955078125,"1,2,4,5","11231,12791,26444,35261",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0004_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0005,small_exact_comparison_canonical,small_exact_comparison,A,6,7,7,7,train,6,4,1,cosine_proxy_utility,0.7884230989942359,0.7884230989942359,0.7142857142857143,0.004061500076204538,0.15813446044921875,"0,1,2,3","1445,6074,19558,21196",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0005_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0006,small_exact_comparison_canonical,small_exact_comparison,A,6,11,11,11,train,6,4,2,cosine_proxy_utility,0.8614372214871189,0.8614372214871189,0.8181818181818182,0.005822999984957278,0.15840911865234375,"2,3,4,5","12435,17158,33800,34779",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0006_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0007,small_exact_comparison_canonical,small_exact_comparison,A,8,11,11,11,train,8,3,0,cosine_proxy_utility,0.6687137645440745,0.6687137645440745,0.5454545454545454,0.022606000071391463,0.17391204833984375,"0,3,5","707,11227,21153",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0007_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0008,small_exact_comparison_canonical,small_exact_comparison,A,8,9,9,9,train,8,3,1,cosine_proxy_utility,0.6341852569762408,0.6341852569762408,0.4444444444444444,0.01831420010421425,0.17380523681640625,"1,2,4","6074,19557,31366",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0008_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0009,small_exact_comparison_canonical,small_exact_comparison,A,8,11,11,11,train,8,3,2,cosine_proxy_utility,0.6700277970851367,0.6700277970851367,0.5454545454545454,0.021571699995547533,0.17401885986328125,"0,4,7","3926,17157,34771",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0009_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
small_exact_comparison_canonical_0010,small_exact_comparison_canonical,small_exact_comparison,A,8,11,11,11,train,8,4,0,cosine_proxy_utility,0.7448102215041992,0.7448102215041992,0.6363636363636364,0.02683360001537949,0.1895294189453125,"0,2,3,5","707,3278,11227,21153",success,,experiments\results\small_exact_comparison_canonical\diagnostics\small_exact_comparison_canonical_0010_a.json,experiments\configs\small.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
