experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
synthetic_20260609T115535Z_0001,synthetic_20260609T115535Z,synthetic,A,6,12,6,3,0,cosine_proxy_utility,0.998950893951449,0.998950893951449,0.7083333333333334,0.02508670001407154,0.0046539306640625,"0,1,5","0,5,16",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0001_a.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0002,synthetic_20260609T115535Z,synthetic,A,6,8,6,3,1,cosine_proxy_utility,0.9984218434561278,0.9984218434561278,0.5625,0.01725200001965277,0.0041046142578125,"1,2,3","3,8,10",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0002_a.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0003,synthetic_20260609T115535Z,synthetic,A,12,18,12,3,0,cosine_proxy_utility,0.9978090624554861,0.9978090624554861,0.2962962962962963,0.3014110999938566,0.0047149658203125,"1,2,4","1,3,5",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0003_a.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0004,synthetic_20260609T115535Z,synthetic,A,12,17,12,3,1,cosine_proxy_utility,0.9972527651380446,0.9972527651380446,0.42156862745098034,0.22897339999326505,0.0049285888671875,"1,8,11","2,18,22",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0004_a.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0005,synthetic_20260609T115535Z,synthetic,A,24,18,24,3,0,cosine_proxy_utility,0.9969258619956067,0.9969258619956067,0.1527777777777778,2.2043209000257775,0.0050506591796875,"1,2,3","1,2,3",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0005_a.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0006,synthetic_20260609T115535Z,synthetic,A,24,18,24,3,1,cosine_proxy_utility,0.9969258619956067,0.9969258619956067,0.1527777777777778,1.932104800012894,0.00502777099609375,"1,2,3","1,2,3",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0006_a.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0007,synthetic_20260609T115535Z,synthetic,B,6,12,6,3,0,jaccard_precision_utility,0.7083333333333334,0.998950893951449,0.7083333333333334,0.0008968000183813274,0.00859832763671875,"0,1,5","0,5,16",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0007_b.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0008,synthetic_20260609T115535Z,synthetic,B,6,8,6,3,1,jaccard_precision_utility,0.625,0.8630874092804083,0.625,0.00037620001239702106,0.00811004638671875,"1,0,2","3,0,8",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0008_b.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0009,synthetic_20260609T115535Z,synthetic,B,12,18,12,3,0,jaccard_precision_utility,0.3611111111111111,0.6119135299458562,0.3611111111111111,0.0012258999922778457,0.00829315185546875,"11,1,2","21,1,3",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0009_b.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_20260609T115535Z_0010,synthetic_20260609T115535Z,synthetic,B,12,17,12,3,1,jaccard_precision_utility,0.42156862745098034,0.9972527651380446,0.42156862745098034,0.000984100013738498,0.00829315185546875,"11,1,8","22,2,18",success,,experiments\results\synthetic_20260609T115535Z\diagnostics\synthetic_20260609T115535Z_0010_b.json,experiments\configs\synthetic.yaml,970c38d,False,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
