experiment_id,batch_id,experiment_name,method,dataset_size,num_queries,train_query_count,eval_query_count,evaluation_scope,sample_size_requested,budget,seed,utility_metric,utility,cosine_proxy_utility_eval,jaccard_precision_utility_eval,runtime_seconds,peak_memory_mb,selected_ids,selected_original_ids,status,message,diagnostics_path,config_path,git_commit,git_dirty,python_version,hardware_notes
synthetic_canonical_0001,synthetic_canonical,synthetic,A,6,12,12,12,train,6,3,0,cosine_proxy_utility,0.998950893951449,0.998950893951449,0.7083333333333334,0.008202199940569699,0.00467681884765625,"0,1,5","0,5,16",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0001_a.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0002,synthetic_canonical,synthetic,A,6,8,8,8,train,6,3,1,cosine_proxy_utility,0.9984218434561278,0.9984218434561278,0.5625,0.006554100080393255,0.0041046142578125,"1,2,3","3,8,10",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0002_a.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0003,synthetic_canonical,synthetic,A,12,18,18,18,train,12,3,0,cosine_proxy_utility,0.9978090624554861,0.9978090624554861,0.2962962962962963,0.1278686000732705,0.0047149658203125,"1,2,4","1,3,5",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0003_a.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0004,synthetic_canonical,synthetic,A,12,17,17,17,train,12,3,1,cosine_proxy_utility,0.9972527651380446,0.9972527651380446,0.42156862745098034,0.1283400000538677,0.0049285888671875,"1,8,11","2,18,22",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0004_a.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0005,synthetic_canonical,synthetic,A,24,18,18,18,train,24,3,0,cosine_proxy_utility,0.9969258619956067,0.9969258619956067,0.1527777777777778,1.1905287000117823,0.0050506591796875,"1,2,3","1,2,3",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0005_a.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0006,synthetic_canonical,synthetic,A,24,18,18,18,train,24,3,1,cosine_proxy_utility,0.9969258619956067,0.9969258619956067,0.1527777777777778,1.2046579000307247,0.00502777099609375,"1,2,3","1,2,3",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0006_a.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0007,synthetic_canonical,synthetic,B,6,12,12,12,train,6,3,0,jaccard_precision_utility,0.7083333333333334,0.998950893951449,0.7083333333333334,0.0007040000054985285,0.00859832763671875,"0,1,5","0,5,16",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0007_b.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0008,synthetic_canonical,synthetic,B,6,8,8,8,train,6,3,1,jaccard_precision_utility,0.625,0.8630874092804083,0.625,0.0002655000425875187,0.00811004638671875,"1,0,2","3,0,8",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0008_b.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0009,synthetic_canonical,synthetic,B,12,18,18,18,train,12,3,0,jaccard_precision_utility,0.3611111111111111,0.6119135299458562,0.3611111111111111,0.0006480000447481871,0.00829315185546875,"11,1,2","21,1,3",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0009_b.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0010,synthetic_canonical,synthetic,B,12,17,17,17,train,12,3,1,jaccard_precision_utility,0.42156862745098034,0.9972527651380446,0.42156862745098034,0.0005973998922854662,0.00829315185546875,"11,1,8","22,2,18",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0010_b.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0011,synthetic_canonical,synthetic,B,24,18,18,18,train,24,3,0,jaccard_precision_utility,0.2222222222222222,0.6317960213494729,0.2222222222222222,0.00044890004210174084,0.00865936279296875,"13,2,23","13,2,23",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0011_b.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
synthetic_canonical_0012,synthetic_canonical,synthetic,B,24,18,18,18,train,24,3,1,jaccard_precision_utility,0.2222222222222222,0.6317960213494729,0.2222222222222222,0.0004526000702753663,0.00865936279296875,"13,2,23","13,2,23",success,,experiments\results\synthetic_canonical\diagnostics\synthetic_canonical_0012_b.json,experiments\configs\synthetic.yaml,555e668,True,3.12.2,Windows-11-10.0.26200-SP0; cpu_count=16
